,ISIN код,Дата присвоения кода,Параметры ценной бумаги (выпуска),Эмитент,ИНН эмитента,Наименование выпуска/транша,Форма выпуска ценной бумаги,Порядок хранения/учета,Pегистрационный номер,Дата регистрации,Номинальная стоимость каждой ценной бумаги,Валюта номинала,Дата погашения,Параметры ценной бумаги (пая),Наименование фонда,Тип фонда,"Вид, категория, тип ценной бумаги",Регистрационный номер,Управляющая компания,Специализированный депозитарий,Реестродержатель
172,RU000A0NX4V3,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-682 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-682-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
173,RU000A0NX4U5,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-681 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-681-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
174,RU000A0NX4T7,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-680 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-680-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
175,RU000A0NX4S9,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-679 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-679-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
176,RU000A0NX4R1,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-678 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-678-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
177,RU000A0NX4Q3,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-677 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-677-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
178,RU000A0NX4P5,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-676 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-676-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
179,RU000A0NX4N0,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-675 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-675-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
180,RU000A0NX4M2,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-674 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-674-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
181,RU000A0NX4L4,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-673 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-673-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
182,RU000A0NX4K6,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-672 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-672-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
183,RU000A0NX4J8,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-671 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-671-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
184,RU000A0NX4H2,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-670 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-670-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
185,RU000A0NX4G4,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-669 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-669-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
186,RU000A0NX4F6,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-668 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-668-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
187,RU000A0NX4E9,10 октября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-667 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-667-01793-A,28 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
188,RU000A0P1KM3,10 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-750,Бездокументарная,С централизованным учетом,6-750-01000-B-001P,14 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
189,RU000A0P1KL5,10 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-749,Бездокументарная,С централизованным учетом,6-749-01000-B-001P,14 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
190,RU000A0P1KK7,10 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-748,Бездокументарная,С централизованным учетом,6-748-01000-B-001P,14 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
191,RU000A0P1KJ9,10 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-747,Бездокументарная,С централизованным учетом,6-747-01000-B-001P,14 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
192,RU000A0P1KH3,10 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-746,Бездокументарная,С централизованным учетом,6-746-01000-B-001P,14 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
193,RU000A0P1KG5,10 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-745,Бездокументарная,С централизованным учетом,6-745-01000-B-001P,14 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
194,RU000A0P1KF7,10 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-744,Бездокументарная,С централизованным учетом,6-744-01000-B-001P,14 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
195,RU000A0P1KE0,10 октября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Cтруктурные процентные дисконтные неконвертируемые бездокументарные облигации с централизованным учетом прав серии С-1-742,Бездокументарная,С централизованным учетом,6-742-01000-B-001P,14 сентября 2023 г.,1 000.00,Рубли,,,,,,,,,
196,RU000A106VR1,11 сентября 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Холдинговая компания ""Эволюция""",7706460690,Коммерческие облигации бездокументарные с централизованным учетом прав неконвертируемые процентные серии КО-01,Бездокументарная,С централизованным учетом,4CDE-01-86089-H,8 сентября 2023 г.,1 000 000.00,Рубли,14 июня 2029 г.,,,,,,,,
197,RU000A106VN0,11 сентября 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Трейдберри""",6167127020,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии БО-01,Бездокументарная,,4B02-01-00434-R,4 сентября 2023 г.,1 000.00,Рубли,27 августа 2026 г.,,,,,,,,
198,RU000A106VT7,11 сентября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав серии 001Р-07,Бездокументарная,С централизованным учетом,4B02-07-01326-B-001P,7 сентября 2023 г.,,Рубли,,,,,,,,,
199,RU000A106VS9,11 сентября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Биржевые облигации процентные и дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии 001Р-06,Бездокументарная,С централизованным учетом,4B02-06-01326-B-001P,7 сентября 2023 г.,,Рубли,,,,,,,,,
200,RU000A106VQ3,11 сентября 2023 г.,Параметры ценной бумаги (выпуска),"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЬФА-БАНК""",7728168971,Биржевые облигации процентные и дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии 001Р-05,Бездокументарная,С централизованным учетом,4B02-05-01326-B-001P,5 сентября 2023 г.,,Рубли,,,,,,,,,
201,RU000A106VL4,11 сентября 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-544,Бездокументарная,С централизованным учетом,4B02-544-01000-B-005P,4 июля 2023 г.,1 000.00,Рубли,13 сентября 2023 г.,,,,,,,,
202,RU000A106QL4,11 августа 2023 г.,Параметры ценной бумаги (выпуска),"Публичное акционерное общество ""Сбербанк России""",7707083893,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии ИОС_PRTACm_IMOEX-5Y-001Р-580R,Бездокументарная,С централизованным учетом,4B02-610-01481-B-001P,10 августа 2023 г.,,Рубли,,,,,,,,,
203,RU000A106QG4,11 августа 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-523,Бездокументарная,С централизованным учетом,4B02-523-01000-B-005P,4 июля 2023 г.,1 000.00,Рубли,15 августа 2023 г.,,,,,,,,
204,RU000A106JT2,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-550 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-550-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
205,RU000A106JS4,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-549 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-549-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
206,RU000A106JR6,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-548 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-548-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
207,RU000A106JQ8,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-547 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-547-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
208,RU000A106JP0,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-546 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-546-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
209,RU000A106JM7,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-545 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-545-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
210,RU000A106JL9,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-544 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-544-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
211,RU000A106JK1,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-543 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-543-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
212,RU000A106JJ3,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-542 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-542-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
213,RU000A106JH7,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-541 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-541-01793-A,29 июня 2023 г.,,Рубли,,,,,,,,,
214,RU000A106JG9,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Вега""",9729329544,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии СП-1-5,Бездокументарная,С централизованным учетом,6-05-00684-R-001P,10 июля 2023 г.,,Рубли,,,,,,,,,
215,RU000A106JF1,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Вега""",9729329544,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии СП-1-4,Бездокументарная,С централизованным учетом,6-04-00684-R-001P,10 июля 2023 г.,,Рубли,,,,,,,,,
216,RU000A106JE4,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Специализированное финансовое общество Вега""",9729329544,Структурные процентные неконвертируемые бездокументарные облигации с централизованным учетом прав серии СП-1-3,Бездокументарная,С централизованным учетом,6-03-00684-R-001P,10 июля 2023 г.,,Рубли,,,,,,,,,
217,RU000A106JC8,11 июля 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Роял Капитал""",4025428684,Биржевые облигации бездокументарные процентные неконвертируемые с централизованным учетом прав серии БО-П09,Бездокументарная,С централизованным учетом,4B02-09-00382-R-001P,7 июля 2023 г.,1 000.00,Рубли,8 июля 2026 г.,,,,,,,,
218,RU000A106JB0,11 июля 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-500,Бездокументарная,С централизованным учетом,4B02-500-01000-B-005P,25 апреля 2023 г.,1 000.00,Рубли,13 июля 2023 г.,,,,,,,,
219,RU000A1067N2,11 мая 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации процентные дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии Б-1-326,Бездокументарная,С централизованным учетом,4B02-326-01000-B-001P,21 февраля 2023 г.,1 000.00,Рубли,,,,,,,,,
220,RU000A1067L6,11 мая 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-458,Бездокументарная,С централизованным учетом,4B02-458-01000-B-005P,25 апреля 2023 г.,1 000.00,Рубли,13 мая 2023 г.,,,,,,,,
221,RU000A106375,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Газпром капитал""",7726588547,Бездокументарные процентные неконвертируемые облигации серии 07,Бездокументарная,С централизованным учетом,4-11-36400-R,4 апреля 2023 г.,1 000.00,Рубли,5 апреля 2028 г.,,,,,,,,
222,RU000A106359,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Экспомобилити""",7708379460,Коммерческие облигации бездокументарные с централизованным учетом прав неконвертируемые процентные серии КО-П07,Бездокументарная,С централизованным учетом,4CDE-07-00608-R-001P,27 марта 2023 г.,1 000.00,Рубли,9 апреля 2026 г.,,,,,,,,
223,RU000A106367,11 апреля 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-439,Бездокументарная,С централизованным учетом,4B02-439-01000-B-005P,6 февраля 2023 г.,1 000.00,Рубли,13 апреля 2023 г.,,,,,,,,
224,RU000A106342,10 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-503 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-503-01793-A,6 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
225,RU000A106334,10 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-502 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-502-01793-A,6 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
226,RU000A106326,10 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-501 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-501-01793-A,6 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
227,RU000A106318,10 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-500 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-500-01793-A,6 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
228,RU000A106300,10 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Акционерное общество ""Сбербанк КИБ""",7710048970,Облигации структурные бездокументарные с централизованным учетом прав серии CIB-СО-499 неконвертируемые с залоговым обеспечением процентные,Бездокументарная,С централизованным учетом,6-499-01793-A,6 апреля 2023 г.,1 000.00,Рубли,,,,,,,,,
229,RU000A1062X2,10 апреля 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Автоэкспресс""",5432001836,Коммерческие облигации бездокументарные с централизованным учетом прав неконвертируемые процентные серии 3П-КО02,Бездокументарная,С централизованным учетом,4CDE-02-00557-R-003P,5 апреля 2023 г.,1 000.00,Рубли,8 апреля 2026 г.,,,,,,,,
230,RU000A105QZ6,11 января 2023 г.,Параметры ценной бумаги (выпуска),"Общество с ограниченной ответственностью ""Агротек""",4100006268,Биржевые облигации процентные неконвертируемые бездокументарные с централизованным учетом прав с обеспечением в форме поручительства серии БО-01,Бездокументарная,С централизованным учетом,4B02-01-00094-L,26 декабря 2022 г.,,Рубли,,,,,,,,,
231,RU000A105QY9,11 января 2023 г.,Параметры ценной бумаги (выпуска),Банк ВТБ (публичное акционерное общество),7702070139,Биржевые облигации дисконтные неконвертируемые бездокументарные с централизованным учетом прав серии КС-4-378,Бездокументарная,С централизованным учетом,4B02-378-01000-B-005P,22 ноября 2022 г.,1 000.00,Рубли,13 января 2023 г.,,,,,,,,
